We should legalize prostitution,Prostitution
We should abandon marriage,Marriage
Entrapment should be legalized,Entrampment
We should abolish intellectual property rights,Intellectual property rights
We should abolish the right to keep and bear arms,The right to keep and bear arms
We should ban fast food,Fast food
We should legalize polygamy,Polygamy
We should limit judicial activism,Judicial activism
We should ban targeted killing,Targeted killing
We should fight for the abolition of nuclear weapons,Nuclear weapons
We should subsidize space exploration,Space exploration
We should introduce compulsory voting,Compulsory voting
We should abolish the Olympic Games,Olympic games
We should end affirmative action,Affirmative action
Holocaust denial should be a criminal offence,Holocaust denial
We should adopt gender-neutral language,Gender-neutral language
We should abolish capital punishment,Capital punishment
Homeschooling should be banned,Homeschooling
We should abolish zoos,Zoos
We should prohibit women in combat,Women in combat
Blockade of the Gaza Strip should be ended,Blockade of the Gaza Strip
We should adopt atheism,Atheism
We should subsidize student loans,Student loans
We should abolish safe spaces,Safe spaces
Assisted suicide should be a criminal offence,Assisted suicide
We should adopt a multi-party system,Multi-party system
We should ban cosmetic surgery for minors,Cosmetic surgery for minors
We should abandon television,Television
We should subsidize embryonic stem cell research,Embryonic stem cell research
We should legalize organ trade,Organ trade
We should prohibit school prayer,School prayer
We should adopt a zero-tolerance policy in schools,Zero-tolerance policy in schools
We should ban naturopathy,Naturopathy
The vow of celibacy should be abandoned,Vow of celibacy
We should end racial profiling,Racial profiling
We should abolish the three-strikes laws,Three-strikes laws
We should legalize sex selection,Sex selection
We should subsidize journalism,Journalism
We should ban factory farming,Factory farming
We should oppose collectivism,Collectivism
We should adopt libertarianism,Libertarianism
We should cancel pride parades,Pride parades
We should subsidize Wikipedia,Wikipedia
We should subsidize stay-at-home dads,Stay-at-home dads
We should end mandatory retirement,Mandatory retirement
The use of public defenders should be mandatory,Use of public defenders
Foster care brings more harm than good,Foster care
We should ban cosmetic surgery,Cosmetic surgery
We should abandon the use of school uniform,School uniform
We should subsidize vocational education,Vocational education
Surrogacy should be banned,Surrogacy
We should ban algorithmic trading,Algorithmic trading
We should legalize cannabis,Cannabis
We should fight urbanization,Urbanization
We should ban private military companies,Private military companies
We should limit executive compensation,Executive compensation
Intelligence tests bring more harm than good,Intelligence tests
Homeopathy brings more harm than good,Homeopathy
We should ban the use of child actors,Child actors
We should stop the development of autonomous cars,Autonomous cars
We should ban whaling,Whaling
We should ban missionary work,Missionary work
We should end the use of economic sanctions,Economic sanctions
We should prohibit flag burning,Flag burning
We should ban the Church of Scientology,Church of Scientology
Payday loans should be banned,Payday loans
We should ban telemarketing,Telemarketing
We should close Guantanamo Bay detention camp,Guantanamo Bay detention camp
Social media brings more harm than good,Social media
We should adopt an austerity regime,Austerity regime
We should ban human cloning,Human cloning
